DIAGNOSIS_CD,DIAGNOSIS_CD_TYPE,n,subCat
W57XXXS,ICD10,125,Exposure to animate mechanical forces
Z0379,ICD10,125,Persons encountering health services for examination and investigation
130016,OTHER,124,
160278,OTHER,124,
31500,ICD9,124,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
3239,ICD9,124,Inflammatory diseases of the central nervous system 
413838009,SNOMED,124,
48812,ICD9,124,Pneumonia and influenza 
495,ICD9,124,Chronic obstructive pulmonary disease and allied conditions 
497,ICD9,124,Chronic obstructive pulmonary disease and allied conditions 
53642,ICD9,124,"Diseases of esophagus, stomach, and duodenum"
56200,ICD9,124,Other diseases of intestines and peritoneum 
65581,ICD9,124,"Normal delivery, and other indications for care in pregnancy, labor, and delivery "
75471,ICD9,124,Musculoskeletal system 
7717,ICD9,124,Other conditions originating in the perinatal period 
77934,ICD9,124,Other conditions originating in the perinatal period 
7994,ICD9,124,Ill-defined and unknown causes of morbidity and mortality 
87201,ICD9,124,"Open wound of head, neck, and trunk "
A150,ICD10,124,Tuberculosis
D735,ICD10,124,Other diseases of blood and blood-forming organs
D739,ICD10,124,Other diseases of blood and blood-forming organs
F8081,ICD10,124,Disorders of psychological development
H60399,ICD10,124,Diseases of external ear
H93299,ICD10,124,Other disorders of ear
I051,ICD10,124,Chronic rheumatic heart diseases
I82512,ICD10,124,"Diseases of veins and lymphatics, and other diseases of circulatory system"
L97421,ICD10,124,Other disorders of the skin and subcutaneous tissue
M175,ICD10,124,Arthrosis
M21379,ICD10,124,Other joint disorders
N6041,ICD10,124,Disorders Of Breast
N940,ICD10,124,Noninflammatory disorders of female genital tract
R971,ICD10,124,Ill-defined and unknown causes of mortality
S20221A,ICD10,124,Injuries to the thorax
S59911A,ICD10,124,Injuries to the elbow and forearm
S92512A,ICD10,124,Injuries to the ankle and foot
V652,ICD9,124,Factors influencing Health Status 
111541001,SNOMED,123,
36210,ICD9,123,Disorders of the eye and adnexa 
42511,ICD9,123,Other forms of heart disease 
42652,ICD9,123,Other forms of heart disease 
4380,ICD9,123,Cerebrovascular disease 
441530006,SNOMED,123,
459,ICD9,123,"Diseases of veins and lymphatics, and other diseases of circulatory system"
45930,ICD9,123,"Diseases of veins and lymphatics, and other diseases of circulatory system"
5238,ICD9,123,"Diseases of oral cavity, salivary glands, and jaws "
65453,ICD9,123,"Normal delivery, and other indications for care in pregnancy, labor, and delivery "
65580,ICD9,123,"Normal delivery, and other indications for care in pregnancy, labor, and delivery "
65883,ICD9,123,"Normal delivery, and other indications for care in pregnancy, labor, and delivery "
674,ICD9,123,Complications of the puerperium 
7399,ICD9,123,"Osteopathies, chondropathies, and acquired musculoskeletal deformities "
74100,ICD9,123,Nervous system 
7483,ICD9,123,Respiratory system 
78440,ICD9,123,Symptoms 
81221,ICD9,123,Fracture of upper limb 
D487,ICD10,123,Neoplasms of uncertain behavior
E638,ICD10,123,Other nutritional deficiencies
G2401,ICD10,123,Extrapyramidal and movement disorders
H04209,ICD10,123,"Disorders of eyelid, lacrimal system and orbit"
H26499,ICD10,123,Disorders of lens
I00,ICD10,123,Acute rheumatic fever
I70235,ICD10,123,"Diseases of arteries, arterioles, and capillaries "
J14,ICD10,123,Influenza and pneumonia
K52832,ICD10,123,Noninfectious enteritis and colitis
K8051,ICD10,123,"Disorders of gallbladder, biliary tract and pancreas"
L89150,ICD10,123,Other disorders of the skin and subcutaneous tissue
M24851,ICD10,123,Other joint disorders
M25442,ICD10,123,Other joint disorders
M3214,ICD10,123,Systemic connective tissue disorders
M954,ICD10,123,Other disorders of the musculoskeletal system and connective tissue
R779,ICD10,123,"Abnormal findings on examination of blood, without diagnosis"
R892,ICD10,123,"Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis"
S27321A,ICD10,123,Injuries to the thorax
S32029A,ICD10,123,"Injuries to the abdomen, lower back, lumbar spine and pelvis"
S62101D,ICD10,123,Injuries to the wrist and hand
V091,ICD9,123,Factors influencing Health Status 
V22.2,UNKNOWN,123,
V620,ICD9,123,Factors influencing Health Status 
Z371,ICD10,123,Persons encountering health services in circumstances related to reproduction
Z9484,ICD10,123,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
869,ICD9,122,"Internal injury of thorax, abdomen, and pelvis "
110034,OTHER,122,
111566002,SNOMED,122,
166000001,OTHER,122,
208,ICD9,122,Malignant neoplasm of lymphatic and hematopoietic tissue 
215,ICD9,122,Benign neoplasms 
2230,ICD9,122,Benign neoplasms 
2271,ICD9,122,Benign neoplasms 
278862001,SNOMED,122,
36216,ICD9,122,Disorders of the eye and adnexa 
38401,ICD9,122,Diseases of the ear and mastoid process 
41092,ICD9,122,Ischemic heart diseases
47903000,SNOMED,122,
5713,ICD9,122,Other diseases of digestive system 
6113,ICD9,122,Disorders Of Breast 
71,OTHER,122,
7284,ICD9,122,"Rheumatism, excluding the back "
76621,ICD9,122,Other conditions originating in the perinatal period 
855,ICD9,122,"Intracranial injury, excluding those with skull fracture "
B0223,ICD10,122,Viral infections characterized by skin and mucous membrane lesions
D3132,ICD10,122,Benign neoplasms
D493,ICD10,122,Neoplasms of uncertain behavior
E1369,ICD10,122,Diabetes mellitus
E7841,ICD10,122,Metabolic disorders
G5752,ICD10,122,"Nerve, nerve root and plexus disorders"
H60509,ICD10,122,Diseases of external ear
L689,ICD10,122,Disorders of skin appendages
M87051,ICD10,122,Other osteopathies
N945,ICD10,122,Noninflammatory disorders of female genital tract
O09813,ICD10,122,Pregnancy with abortive outcome
O2412,ICD10,122,Other maternal disorders predominantly related to pregnancy
O3483,ICD10,122,Maternal care related to the fetus and amniotic cavity and possible delivery problems
R402410,ICD10,122,"Symptoms and signs involving cognition, perception, emotional state and behaviour"
S8012XD,ICD10,122,Injuries to the knee and lower leg
S86919A,ICD10,122,Injuries to the knee and lower leg
T43592A,ICD10,122,"Poisoning by drugs, medicaments and biological substances"
V499,ICD9,122,Factors influencing Health Status 
V679,UNKNOWN,122,
Y846,ICD10,122,Complications of medical and surgical care
Z4001,ICD10,122,Persons encountering health services for specific procedures and health care
160045,OTHER,121,
1977,ICD9,121,Malignant neoplasm of other and unspecified sites 
25093,ICD9,121,Diseases of other endocrine glands 
377,ICD9,121,Disorders of the eye and adnexa 
45007003,SNOMED,121,
52441000,SNOMED,121,
57470,ICD9,121,Other diseases of digestive system 
70707,ICD9,121,Other diseases of the skin and subcutaneous tissue 
70995007,SNOMED,121,
76519,ICD9,121,Other conditions originating in the perinatal period 
78891,ICD9,121,Symptoms 
81203,ICD9,121,Fracture of upper limb 
82320,ICD9,121,Fracture of lower limb 
9826008,SNOMED,121,
B179,ICD10,121,Viral hepatitis
D169,ICD10,121,Benign neoplasms
E11618,ICD10,121,Diabetes mellitus
G9050,ICD10,121,Other disorders of the nervous system
J0121,ICD10,121,Acute upper respiratory infections
J158,ICD10,121,Influenza and pneumonia
K31811,ICD10,121,"Diseases of esophagus, stomach, and duodenum"
M19039,ICD10,121,Arthrosis
M5012,ICD10,121,Other dorsopathies
M65351,ICD10,121,Disorders of synovium and tendon
M948X6,ICD10,121,Chondropathies
O0901,ICD10,121,Pregnancy with abortive outcome
O43193,ICD10,121,Maternal care related to the fetus and amniotic cavity and possible delivery problems
S43409A,ICD10,121,Injuries to the shoulder and upper arm
S60012A,ICD10,121,Injuries to the wrist and hand
S82002A,ICD10,121,Injuries to the knee and lower leg
S91309A,ICD10,121,Injuries to the ankle and foot
S92302A,ICD10,121,Injuries to the ankle and foot
S92501A,ICD10,121,Injuries to the ankle and foot
T485X1A,ICD10,121,"Poisoning by drugs, medicaments and biological substances"
V030,ICD9,121,Factors influencing Health Status 
V552,ICD9,121,Factors influencing Health Status 
Y9351,ICD10,121,Supplementary factors related to causes of morbidity and mortality classified elsewhere
Z189,ICD10,121,Persons encountering health services for examination and investigation
Z30016,ICD10,121,Persons encountering health services in circumstances related to reproduction
3811,ICD9,120,Diseases of the ear and mastoid process 
4119,ICD9,120,Ischemic heart diseases
115329001,SNOMED,120,
1410000011,OTHER,120,
26079004,SNOMED,120,
283,ICD9,120,Anemia 
2879,ICD9,120,Coagulation/hemorrhagic 
30271,ICD9,120,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
302866003,SNOMED,120,
40300,ICD9,120,Hypertensive diseases
4161,ICD9,120,Diseases of pulmonary circulation 
458,ICD9,120,"Diseases of veins and lymphatics, and other diseases of circulatory system"
4784,ICD9,120,Other diseases of the upper respiratory tract 
53140,ICD9,120,"Diseases of esophagus, stomach, and duodenum"
65910,ICD9,120,"Normal delivery, and other indications for care in pregnancy, labor, and delivery "
986,ICD9,120,Toxic effects of substances chiefly nonmedicinal as to source 
E088,ICD10,120,Disorders of thyroid gland
E8350,ICD10,120,Metabolic disorders
E9800,ICD9,120,Supplementary Classification of External Causes of Injury and Poisoning
F930,ICD10,120,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
H04551,ICD10,120,"Disorders of eyelid, lacrimal system and orbit"
I774,ICD10,120,"Diseases of arteries, arterioles, and capillaries "
K739,ICD10,120,Diseases of liver
L52,ICD10,120,Urticaria and erythema
M1A9XX1,ICD10,120,Arthrosis
M2352,ICD10,120,Other joint disorders
M85862,ICD10,120,Disorders of bone density and structure
N312,ICD10,120,Other diseases of urinary system
O24913,ICD10,120,Other maternal disorders predominantly related to pregnancy
O2603,ICD10,120,Other maternal disorders predominantly related to pregnancy
P285,ICD10,120,Respiratory and cardiovascular disorders specific to the perinatal period
R680,ICD10,120,General symptoms and signs
R87811,ICD10,120,"Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis"
S0091XA,ICD10,120,Injuries to the head
S29019D,ICD10,120,Injuries to the thorax
S62619A,ICD10,120,Injuries to the wrist and hand
S8264XA,ICD10,120,Injuries to the knee and lower leg
S83419A,ICD10,120,Injuries to the knee and lower leg
S838X1A,ICD10,120,Injuries to the knee and lower leg
T50905D,ICD10,120,"Poisoning by drugs, medicaments and biological substances"
V8909,ICD9,120,Factors influencing Health Status 
W2201XA,ICD10,120,Exposure to inanimate mechanical forces
Z733,ICD10,120,Persons encountering health services in other circumstances
Z85841,ICD10,120,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
NA,SNOMED,120,
281239006,SNOMED,119,
32742,ICD9,119,Inflammatory diseases of the central nervous system 
33985,ICD9,119,Hereditary and Degenerative diseases of the central nervous system 
36289,ICD9,119,Disorders of the eye and adnexa 
36604,ICD9,119,Disorders of the eye and adnexa 
38903,ICD9,119,Diseases of the ear and mastoid process 
473020005,SNOMED,119,
66981,ICD9,119,Complications occurring mainly in the course of labor and delivery 
72669,ICD9,119,"Rheumatism, excluding the back "
79417,ICD9,119,Nonspecific abnormal findings 
83561009,SNOMED,119,
9182,ICD9,119,Superficial injury 
9301,ICD9,119,Effects of foreign body entering through Body orifice 
C259,ICD10,119,Malignant neoplasms of digestive organs
D279,ICD10,119,Benign neoplasms
H53453,ICD10,119,Visual disturbances and blindness
J0410,ICD10,119,Acute upper respiratory infections
K50918,ICD10,119,Noninfectious enteritis and colitis
K560,ICD10,119,Other diseases of intestines
K904,ICD10,119,Other diseases of the digestive system
L03316,ICD10,119,Infections of the skin and subcutaneous tissue
M10079,ICD10,119,Inflammatory polyarthropathies
M154,ICD10,119,Arthrosis
M4300,ICD10,119,Deforming dorsopathies
M660,ICD10,119,Disorders of synovium and tendon
M85872,ICD10,119,Disorders of bone density and structure
N99820,ICD10,119,Other disorders of the genitourinary system
O364XX0,ICD10,119,Maternal care related to the fetus and amniotic cavity and possible delivery problems
O4400,ICD10,119,Maternal care related to the fetus and amniotic cavity and possible delivery problems
S52531A,ICD10,119,Injuries to the elbow and forearm
S82842A,ICD10,119,Injuries to the knee and lower leg
S838X2A,ICD10,119,Injuries to the knee and lower leg
T8610,ICD10,119,"Complications of surgical and medical care, not elsewhere classified"
V7181,ICD9,119,Factors influencing Health Status 
128477000,SNOMED,118,
2139,ICD9,118,Benign neoplasms 
25043,ICD9,118,Diseases of other endocrine glands 
2979,ICD9,118,Psychosis 
298,ICD9,118,Psychosis 
3709,ICD9,118,Disorders of the eye and adnexa 
37601,ICD9,118,Disorders of the eye and adnexa 
3889,ICD9,118,Diseases of the ear and mastoid process 
396347007,SNOMED,118,
419284004,SNOMED,118,
4423,ICD9,118,"Diseases of arteries, arterioles, and capillaries "
449710006,SNOMED,118,
4557,ICD9,118,"Diseases of veins and lymphatics, and other diseases of circulatory system"
7470,ICD9,118,Circulatory system 
78837,ICD9,118,Symptoms 
78838,ICD9,118,Symptoms 
81382,ICD9,118,Fracture of upper limb 
8418,ICD9,118,Sprains and strains of joints and adjacent muscles 
C3432,ICD10,118,Malignant neoplasms of respiratory and intrathoracic organs
E113513,ICD10,118,Diabetes mellitus
E160,ICD10,118,Other disorders of glucose regulation and pancreatic internal secretion
F315,ICD10,118,Mood [affective] disorders
F528,ICD10,118,Behavioural syndromes associated with physiological disturbances and physical factors
F952,ICD10,118,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
K3589,ICD10,118,Diseases of appendix
M67814,ICD10,118,Disorders of synovium and tendon
O4403,ICD10,118,Maternal care related to the fetus and amniotic cavity and possible delivery problems
R151,ICD10,118,Symptoms and signs involving the digestive system and abdomen
S66919A,ICD10,118,Injuries to the wrist and hand
S6981XA,ICD10,118,Injuries to the wrist and hand
S7292XA,ICD10,118,Injuries to the hip and thigh
S90811A,ICD10,118,Injuries to the ankle and foot
T447X5A,ICD10,118,"Poisoning by drugs, medicaments and biological substances"
W278XXA,ICD10,118,Exposure to inanimate mechanical forces
Z0282,ICD10,118,Persons encountering health services for examination and investigation
Z6741,ICD10,118,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
1.59E+14,SNOMED,117,
17338001,SNOMED,117,
236633002,SNOMED,117,
249,ICD9,117,Diseases of other endocrine glands 
25374005,SNOMED,117,
301754002,SNOMED,117,
37189,ICD9,117,Disorders of the eye and adnexa 
397881000,SNOMED,117,
52107,ICD9,117,"Diseases of oral cavity, salivary glands, and jaws "
68226007,SNOMED,117,
69195002,SNOMED,117,
80702,ICD9,117,Fracture of neck and trunk 
9916,ICD9,117,Other and unspecified effects of external causes 
G0490,ICD10,117,Inflammatory diseases of the central nervous system
G454,ICD10,117,Episodic and paroxysmal disorders
H0012,ICD10,117,"Disorders of eyelid, lacrimal system and orbit"
J359,ICD10,117,Other diseases of the upper respiratory tract
L97319,ICD10,117,Other disorders of the skin and subcutaneous tissue
M41129,ICD10,117,Deforming dorsopathies
O6002,ICD10,117,Complications of labour and delivery
O731,ICD10,117,Complications of labour and delivery
P700,ICD10,117,Transitory endocrine and metabolic disorders specific to fetus and newborn
P9681,ICD10,117,Other disorders originating in the perinatal period
S0219XA,ICD10,117,Injuries to the head
S22089A,ICD10,117,Injuries to the thorax
S39012S,ICD10,117,"Injuries to the abdomen, lower back, lumbar spine and pelvis"
S52532A,ICD10,117,Injuries to the elbow and forearm
T383X1A,ICD10,117,"Poisoning by drugs, medicaments and biological substances"
T8332XD,ICD10,117,"Complications of surgical and medical care, not elsewhere classified"
V2629,ICD9,117,Factors influencing Health Status 
V5429,ICD9,117,Factors influencing Health Status 
578,ICD9,116,Other diseases of digestive system 
1040000018,OTHER,116,
111583006,SNOMED,116,
1200000027,OTHER,116,
238,ICD9,116,Neoplasms of uncertain behavior 
25202,ICD9,116,Diseases of other endocrine glands 
3077,ICD9,116,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
310366008,SNOMED,116,
312824007,SNOMED,116,
3577,ICD9,116,Disorders of the peripheral nervous system 
385093006,SNOMED,116,
38619,ICD9,116,Diseases of the ear and mastoid process 
445,ICD9,116,"Diseases of arteries, arterioles, and capillaries "
46410,ICD9,116,Acute respiratory infections 
647,ICD9,116,Complications mainly related to pregnancy 
64801,ICD9,116,Complications mainly related to pregnancy 
71952,ICD9,116,Arthropathies and related disorders 
71995,ICD9,116,Arthropathies and related disorders 
76527,ICD9,116,Other conditions originating in the perinatal period 
78058,ICD9,116,Symptoms 
7872,ICD9,116,Symptoms 
79513,ICD9,116,Nonspecific abnormal findings 
79740000,SNOMED,116,
833,ICD9,116,Dislocation 
A530,ICD10,116,Infections with a predominantly sexual mode of transmission
B0230,ICD10,116,Viral infections characterized by skin and mucous membrane lesions
C50511,ICD10,116,Malignant neoplasm of breast
C7A8,ICD10,116,"Malignant neoplasms of ill-defined, secondary and unspecified sites"
D045,ICD10,116,In situ neoplasms
E1322,ICD10,116,Diabetes mellitus
E8801,ICD10,116,Metabolic disorders
F2089,ICD10,116,"Schizophrenia, schizotypal and delusional disorders"
G514,ICD10,116,"Nerve, nerve root and plexus disorders"
G839,ICD10,116,Cerebral palsy and other paralytic syndromes
L03111,ICD10,116,Infections of the skin and subcutaneous tissue
L240,ICD10,116,Dermatitis and eczema
L704,ICD10,116,Disorders of skin appendages
M25711,ICD10,116,Other joint disorders
N159,ICD10,116,Renal tubulo-interstitial diseases
O3432,ICD10,116,Maternal care related to the fetus and amniotic cavity and possible delivery problems
O3662X0,ICD10,116,Maternal care related to the fetus and amniotic cavity and possible delivery problems
O98319,ICD10,116,"Other obstetric conditions, not elsewhere classified"
R93422,ICD10,116,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis"
V1252,ICD9,116,Factors influencing Health Status 
V212,ICD9,116,Factors influencing Health Status 
V7232,ICD9,116,Factors influencing Health Status 
Z046,ICD10,116,Persons encountering health services for examination and investigation
Z531,ICD10,116,Persons encountering health services for specific procedures and health care
Z831,ICD10,116,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z8505,ICD10,116,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
133899007,SNOMED,115,
2529,ICD9,115,Diseases of other endocrine glands 
2682,ICD9,115,Nutritional deficiencies 
2864,ICD9,115,Coagulation/hemorrhagic 
34693,ICD9,115,Other disorders of the central nervous system 
36815,ICD9,115,Disorders of the eye and adnexa 
37024,ICD9,115,Disorders of the eye and adnexa 
41511,ICD9,115,Diseases of pulmonary circulation 
47200007,SNOMED,115,
5109,ICD9,115,Other diseases of the respiratory system 
64313,ICD9,115,Complications mainly related to pregnancy 
73028,ICD9,115,"Osteopathies, chondropathies, and acquired musculoskeletal deformities "
7385,ICD9,115,"Osteopathies, chondropathies, and acquired musculoskeletal deformities "
88594005,SNOMED,115,
G960,ICD10,115,Other disorders of the nervous system
H1820,ICD10,115,"Disorders of sclera, cornea, iris and ciliary body"
I6501,ICD10,115,Cerebrovascular diseases
J330,ICD10,115,Other diseases of the upper respiratory tract
K592,ICD10,115,Other diseases of intestines
K9289,ICD10,115,Other diseases of the digestive system
M0689,ICD10,115,Inflammatory polyarthropathies
M272,ICD10,115,Other joint disorders
M4805,ICD10,115,Spondylopathies
O9229,ICD10,115,Complications predominantly related to the puerperium
O99713,ICD10,115,"Other obstetric conditions, not elsewhere classified"
P030,ICD10,115,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
S01311A,ICD10,115,Injuries to the head
S139XXD,ICD10,115,Injuries to the neck
S40212A,ICD10,115,Injuries to the shoulder and upper arm
S42301A,ICD10,115,Injuries to the shoulder and upper arm
S52612A,ICD10,115,Injuries to the elbow and forearm
S60011A,ICD10,115,Injuries to the wrist and hand
S93412A,ICD10,115,Injuries to the ankle and foot
T730XXA,ICD10,115,Other and unspecified effects of external causes
V4987,ICD9,115,Factors influencing Health Status 
Z85818,ICD10,115,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z91120,ICD10,115,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z949,ICD10,115,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
2649,ICD9,114,Nutritional deficiencies 
27403,ICD9,114,Other metabolic and immunity disorders 
287047008,SNOMED,114,
3668,ICD9,114,Disorders of the eye and adnexa 
36803,ICD9,114,Disorders of the eye and adnexa 
37630,ICD9,114,Disorders of the eye and adnexa 
40200,ICD9,114,Hypertensive diseases
4074,ICD9,114,Hypertensive diseases
43821,ICD9,114,Cerebrovascular disease 
4749,ICD9,114,Other diseases of the upper respiratory tract 
54777007,SNOMED,114,
56294008,SNOMED,114,
56984,ICD9,114,Other diseases of intestines and peritoneum 
59984,ICD9,114,Other diseases of urinary system 
6020002,SNOMED,114,
72281,ICD9,114,Dorsopathies 
75803007,SNOMED,114,
9124,ICD9,114,Superficial injury 
C44529,ICD10,114,Melanoma and other malignant neoplasms of skin
F1411,ICD10,114,Mental and behavioural disorders due to psychoactive substance use
F310,ICD10,114,Mood [affective] disorders
F508,ICD10,114,Behavioural syndromes associated with physiological disturbances and physical factors
F514,ICD10,114,Behavioural syndromes associated with physiological disturbances and physical factors
H4089,ICD10,114,Glaucoma
H608X3,ICD10,114,Diseases of external ear
I83028,ICD10,114,"Diseases of veins and lymphatics, and other diseases of circulatory system"
K868,ICD10,114,"Disorders of gallbladder, biliary tract and pancreas"
K913,ICD10,114,Other diseases of the digestive system
L928,ICD10,114,Other disorders of the skin and subcutaneous tissue
M24112,ICD10,114,Other joint disorders
M4124,ICD10,114,Deforming dorsopathies
M5418,ICD10,114,Other dorsopathies
N922,ICD10,114,Noninflammatory disorders of female genital tract
O3411,ICD10,114,Maternal care related to the fetus and amniotic cavity and possible delivery problems
Q999,ICD10,114,"Chromosomal abnormalities, not elsewhere classified"
R1115,ICD10,114,Symptoms and signs involving the digestive system and abdomen
S14109A,ICD10,114,Injuries to the neck
S42202D,ICD10,114,Injuries to the shoulder and upper arm
S83421A,ICD10,114,Injuries to the knee and lower leg
T1502XA,ICD10,114,Effects of foreign body entering through natural orifice
T171XXA,ICD10,114,Effects of foreign body entering through natural orifice
T6291XA,ICD10,114,Toxic effects of substances chiefly nonmedicinal as to source
T8249XA,ICD10,114,"Complications of surgical and medical care, not elsewhere classified"
V532,ICD9,114,Factors influencing Health Status 
V6229,ICD9,114,Factors influencing Health Status 
V8699XA,ICD10,114,Resistance to antimicrobial and antineoplastic drugs
Z1621,ICD10,114,Persons encountering health services for examination and investigation
Z89432,ICD10,114,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z934,ICD10,114,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
1735,ICD9,113,"Malignant neoplasm of bone, connective tissue, skin, and breast "
2219,ICD9,113,Benign neoplasms 
2569,ICD9,113,Diseases of other endocrine glands 
29738008,SNOMED,113,
30921,ICD9,113,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
3180,ICD9,113,ental retardation 
38917,ICD9,113,Diseases of the ear and mastoid process 
405729008,SNOMED,113,
439590007,SNOMED,113,
521,ICD9,113,"Diseases of oral cavity, salivary glands, and jaws "
5291,ICD9,113,"Diseases of oral cavity, salivary glands, and jaws "
58389,ICD9,113,"Nephritis, nephrotic syndrome, and nephrosis "
7,OTHER,113,
78931,ICD9,113,Symptoms 
867,ICD9,113,"Internal injury of thorax, abdomen, and pelvis "
8722008,SNOMED,113,
B880,ICD10,113,"Pediculosis, acariasis and other infestations"
B948,ICD10,113,Sequelae of infectious and parasitic diseases
E783,ICD10,113,Metabolic disorders
F911,ICD10,113,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
G834,ICD10,113,Cerebral palsy and other paralytic syndromes
I25111,ICD10,113,Ischemic heart diseases
I6781,ICD10,113,Cerebrovascular diseases
K036,ICD10,113,"Diseases of oral cavity, salivary glands and jaws"
K761,ICD10,113,Diseases of liver
N831,ICD10,113,Noninflammatory disorders of female genital tract
N94819,ICD10,113,Noninflammatory disorders of female genital tract
O10011,ICD10,113,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium"
O1415,ICD10,113,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium"
O339,ICD10,113,Maternal care related to the fetus and amniotic cavity and possible delivery problems
O3443,ICD10,113,Maternal care related to the fetus and amniotic cavity and possible delivery problems
O730,ICD10,113,Complications of labour and delivery
Q2733,ICD10,113,Congenital malformations of the circulatory system
R2233,ICD10,113,Symptoms and signs involving the skin and subcutaneous tissue
S00411A,ICD10,113,Injuries to the head
S01312A,ICD10,113,Injuries to the head
S0180XA,ICD10,113,Injuries to the head
S61219D,ICD10,113,Injuries to the wrist and hand
S83206D,ICD10,113,Injuries to the knee and lower leg
S92352D,ICD10,113,Injuries to the ankle and foot
Z83438,ICD10,113,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
130034,OTHER,112,
1554,ICD9,112,Malignant neoplasm of digestive organs and peritoneum 
171126009,SNOMED,112,
28651003,SNOMED,112,
37710,ICD9,112,Disorders of the eye and adnexa 
37842,ICD9,112,Disorders of the eye and adnexa 
3798,ICD9,112,Disorders of the eye and adnexa 
47820,ICD9,112,Other diseases of the upper respiratory tract 
5286,ICD9,112,"Diseases of oral cavity, salivary glands, and jaws "
56097005,SNOMED,112,
56969,ICD9,112,Other diseases of intestines and peritoneum 
5769,ICD9,112,Other diseases of digestive system 
69276,ICD9,112,Other inflammatory conditions of skin and subcutaneous tissue 
69510,ICD9,112,Other inflammatory conditions of skin and subcutaneous tissue 
7966,ICD9,112,Nonspecific abnormal findings 
A6001,ICD10,112,Infections with a predominantly sexual mode of transmission
D529,ICD10,112,Nutritional anaemias
D684,ICD10,112,"Coagulation defects, purpura and other haemorrhagic conditions"
E113291,ICD10,112,Diabetes mellitus
F258,ICD10,112,"Schizophrenia, schizotypal and delusional disorders"
G4453,ICD10,112,Episodic and paroxysmal disorders
H11003,ICD10,112,Disorders of conjunctiva
H169,ICD10,112,"Disorders of sclera, cornea, iris and ciliary body"
H832X9,ICD10,112,Diseases of inner ear
K5150,ICD10,112,Noninfectious enteritis and colitis
M25859,ICD10,112,Other joint disorders
M4307,ICD10,112,Deforming dorsopathies
M9260,ICD10,112,Chondropathies
N4340,ICD10,112,Diseases of male genital organs
O99112,ICD10,112,"Other obstetric conditions, not elsewhere classified"
O99351,ICD10,112,"Other obstetric conditions, not elsewhere classified"
P8381,ICD10,112,Conditions involving the integument and temperature regulation of fetus and newborn
S00412A,ICD10,112,Injuries to the head
S46009A,ICD10,112,Injuries to the shoulder and upper arm
S51851A,ICD10,112,Injuries to the elbow and forearm
S82141A,ICD10,112,Injuries to the knee and lower leg
S83207D,ICD10,112,Injuries to the knee and lower leg
S90812A,ICD10,112,Injuries to the ankle and foot
S93421A,ICD10,112,Injuries to the ankle and foot
S99921D,ICD10,112,Injuries to the ankle and foot
V0261,ICD9,112,Factors influencing Health Status 
V5339,ICD9,112,Factors influencing Health Status 
V877XXD,ICD10,112,Resistance to antimicrobial and antineoplastic drugs
Z653,ICD10,112,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
979,ICD9,111,"Poisoning by drugs, medicinal and biological substances "
166318006,SNOMED,111,
2191,ICD9,111,Benign neoplasms 
2443,ICD9,111,Disorders of thyroid gland 
3360,ICD9,111,Hereditary and Degenerative diseases of the central nervous system 
33902,ICD9,111,Hereditary and Degenerative diseases of the central nervous system 
36000,ICD9,111,Disorders of the eye and adnexa 
37160,ICD9,111,Disorders of the eye and adnexa 
41011,ICD9,111,Ischemic heart diseases
43882,ICD9,111,Cerebrovascular disease 
442438000,SNOMED,111,
499,ICD9,111,Chronic obstructive pulmonary disease and allied conditions 
53430007,SNOMED,111,
62133,ICD9,111,Other disorders of female genital tract 
7706,ICD9,111,Other conditions originating in the perinatal period 
78762,ICD9,111,Symptoms 
94520,ICD9,111,Burns 
9945,ICD9,111,Other and unspecified effects of external causes 
A408,ICD10,111,Other bacterial diseases
D291,ICD10,111,Benign neoplasms
E0840,ICD10,111,Disorders of thyroid gland
I69328,ICD10,111,Cerebrovascular diseases
K620,ICD10,111,Other diseases of intestines
K650,ICD10,111,Diseases of peritoneum
L97222,ICD10,111,Other disorders of the skin and subcutaneous tissue
M05741,ICD10,111,Inflammatory polyarthropathies
